workerid,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education
0,,,,,,-1,,,,,,NA,,,-1
1,most,neverlived,eng,espanol,near native,1,Female,30,SpanSpan,,shortlive,Yes,yes,midsem,1
2,none,both8,span,Español,native,2,Male,28,SpanSpan,,mostlive,Yes,yes,nocollege,3
3,none,over8,span,español,native,2,Male,33,SpanSpan,muy buena tarea y es facil,mostlive,Yes,noclasses,nocollege,3
4,most,over8,spaneng,ingles ,advanced,2,Female,26,L2,,midlive,Yes,yes,mostsem,3
5,mid,under8,spaneng,espanol,near native,2,Male,23,SpanSpan,,midlive,Yes,yes,onesem,3
6,most,both8,eng,"ingles, espanol",advanced,1,Female,23,L2,,midlive,Yes,yes,mostsem,2
7,small,over8,span,Espanol,near native,1,Male,30,SpanSpan,No comentarios,mostlive,Yes,yes,onesem,3
8,most,under8,span,Español,native,2,Female,32,SpanSpan,,mostlive,Yes,noclasses,mostsem,4
