workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,sof&aacute; ,masculine,furniture,3,podrido,corto,age,0.9,size
0,manzana,feminine,food,4,duro,corto,texture,0.94,size
0,escritorio,masculine,furniture,5,redondo,peque&ntilde;o,shape,0.78,size
0,queso,masculine,food,6,nuevo,morado,age,0.85,color
0,televisi&oacute;n ,feminine,furniture,7,americano,rojo,nationality,0.88,color
0,sof&aacute; ,masculine,furniture,8,malo,verde,quality,0.85,color
0,manzana,feminine,food,9,viejo,malo,age,0.74,quality
0,sof&aacute; ,masculine,furniture,10,espa&ntilde;ol,rojo,nationality,0.67,color
0,queso,masculine,food,11,min&uacute;sculo,viejo,size,0.93,age
0,pl&aacute;tano,masculine,food,12,fresco,redondo,age,0.82,shape
0,silla,feminine,furniture,13,fresco,americano,age,0.79,nationality
0,sof&aacute; ,masculine,furniture,14,malo,amarillo,quality,0.54,color
0,pl&aacute;tano,masculine,food,15,viejo,suave,age,0.73,texture
0,manzana,feminine,food,16,viejo,bueno,age,0.71,quality
0,zanahoria,feminine,food,17,nuevo,min&uacute;sculo,age,0.84,size
0,escritorio,masculine,furniture,18,enorme,marr&oacute;n,size,0.84,color
0,manzana,feminine,food,19,suave,malo,texture,0.85,quality
0,ventilador,masculine,furniture,20,suave,rojo,texture,0.85,color
0,ventilador,masculine,furniture,21,marr&oacute;n,peque&ntilde;o,color,0.85,size
0,televisi&oacute;n ,feminine,furniture,22,morado,fresco,color,0.85,age
0,sof&aacute; ,masculine,furniture,23,cuadrado,largo,shape,0.78,size
0,manzana,feminine,food,24,nuevo,corto,age,0.68,size
0,manzana,feminine,food,25,morado,espa&ntilde;ol,color,0.92,nationality
0,televisi&oacute;n ,feminine,furniture,26,marr&oacute;n,malo,color,0.92,quality
0,pl&aacute;tano,masculine,food,27,americano,marr&oacute;n,nationality,0.91,color
0,sof&aacute; ,masculine,furniture,28,americano,nuevo,nationality,0.89,age
1,pl&aacute;tano,masculine,food,3,rojo,corto,color,0.57,size
1,televisi&oacute;n ,feminine,furniture,4,podrido,redondo,age,0.82,shape
1,televisi&oacute;n ,feminine,furniture,5,azul,nuevo,color,0.38,age
1,tomate,masculine,food,6,viejo,morado,age,0.78,color
1,zanahoria,feminine,food,7,rojo,americano,color,0.55,nationality
1,queso,masculine,food,8,amarillo,nuevo,color,0.8,age
1,silla,feminine,furniture,9,redondo,fresco,shape,0.32,age
1,ventilador,masculine,furniture,10,liso,verde,texture,0.68,color
