date,workerid,amount
Tue May 22 09:20:19 PDT 2018,AT60ESWGVSAG9,0.4
Tue May 22 10:51:15 PDT 2018,AK5AFB4VLBCGK,0.4
Tue May 22 11:29:12 PDT 2018,A1005K2L27BM7S,0.4
Tue May 22 16:03:43 PDT 2018,A3NMU6AVMQ0QDB,0.4
Tue May 22 19:17:29 PDT 2018,A115NOS269J7JB,0.4
Wed May 23 01:10:36 PDT 2018,A3KQR6A7WWI9PE,0.4
Wed May 23 01:10:44 PDT 2018,A1X4ET9YBXXF7N,0.4
Wed May 23 01:11:33 PDT 2018,A2ZB24AEN6N7Y3,0.4
Wed May 23 04:28:37 PDT 2018,A3N17IQMJ5H6A5,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
