date,workerid,amount
Thu May 03 12:06:00 PDT 2018,A3VN1FM3EA2ZBS,0.4
Thu May 03 12:44:22 PDT 2018,AXRLX0WUU5GED,0.4
Thu May 03 14:36:19 PDT 2018,A1S8DYWNS59XWB,0.4
Thu May 03 18:50:39 PDT 2018,A3JWCEGDOK8IXH,0.4
Fri May 04 05:01:02 PDT 2018,A348QHHJZ4P0SL,0.4
Fri May 04 05:30:48 PDT 2018,AK0Y6OITL7VGX,0.4
Fri May 04 18:11:26 PDT 2018,A36TTD5SYP9M02,0.4
Fri May 04 19:46:07 PDT 2018,A2WS38OS7JUQUG,0.4
Sat May 05 06:59:49 PDT 2018,A25MAA14V6FLE3,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
