workerid,anon_workerid
A2DXYZSG2E7HT0,0
A20SI2XSAHUXP4,1
A2ALCGZ1QWAMNO,2
A23OGMOKERQS5R,3
A32TDUN0P4QBRQ,4
AF3LEU0Z2EMH4,5
ADM83RXAAL9OP,6
A30CGO77OY7WP0,7
A1AZT1X95HPHM9,8
A15TLEMC9O4ZUD,9
A37YC7R1H04X9P,10
A3O9WZNVQSQC1S,11
A270JQUOEF9BUD,12
A3C81THYYSBGVD,13
A1N062RR11CYKP,14
A2HHFJZNO8V73E,15
A3D7N1ZQN91V8V,16
A2GPVEUY9Z5TJ9,17
ATE8OIQFEVD0T,18
A1FAQI6Q4WCS,19
A2PBFNLF653SMP,20
A8R3GU0O5ATFU,21
A1AU08RVBZOM7K,22
A1AYVATMT88U1W,23
AG1AEASBADMAD,24
A2RGDYBSWA09Q,25
A1KHJ8MO94KGI6,26
A1EXT8RDV32E2X,27
A37N9H4CKJKH1Q,28
A4TQSZDPARE7I,29
A2YWDJ41GY2QTD,30
AMFN57BJVYPPE,31
A33EMMB7FQS3O2,32
A1GH6Y49MYXPBX,33
AA9SBG7LNCG8Q,34
A3I4U67B71LARR,35
A1S2MN0E9BHPVA,36
A23442UHTO5VOI,37
ADM86YK28XDWH,38
AV27AM3JXSB19,39
A39G5S31C0697S,40
A3FBQV3DE249YE,41
A25J1XF62KBXFC,42
A21ZTGC93XE0L,43
A19AJ97UOOALX,44
AZE6S80FH2O1L,45
A1QWBLJIMF1A5V,46
A1QDMUI51EV5TG,47
A3BWB2PMOZY5MP,48
AJY5G987IRT25,49
A4VCRGDNRQVFM,50
AMWLYJEF5CY2X,51
A1GHWDVVSKV1V5,52
A2ZLTGCKWZ0P95,53
A1K1YOUOJ2P57H,54
A3V6XE43H0BFC9,55
A1PQWT8ZV8398L,56
AE3ZQZ2Z81Z11,57
A98QFUWNFJUS3,58
A1DYS2DI81OI16,59
A2KWNU6AERN3TG,60
A2J6S7QR4CGXTW,61
AHQTJ7T6YLSAB,62
A2NJK7IGTQEGOF,63
A1KHRQ121JTDF6,64
A1HNR6OIRFCEHS,65
A1JJL6NNMEV4B8,66
AT5FSN3F67A6F,67
A2B8L88BUHVOO6,68
A2ODGQWXTE658E,69
A29AVKCFZL9SCY,70
A2CSHSP9F44H7U,71
