date,workerid,amount
Thu May 03 10:24:10 PDT 2018,A3SXV3VD8DJ0YX,0.4
Thu May 03 17:20:25 PDT 2018,A1WTKDVIFK3IDY,0.4
Fri May 04 08:16:04 PDT 2018,A21VFTNS5FSCL7,0.4
Fri May 04 16:21:54 PDT 2018,A26Z7N8LZZN5LS,0.4
Sat May 05 02:17:44 PDT 2018,A20EYMR2QEL2B1,0.4
Sat May 05 10:07:07 PDT 2018,AB3I910GBB156,0.4
Sun May 06 04:21:37 PDT 2018,A2AR4111NZ10DE,0.4
Sun May 06 15:38:17 PDT 2018,AHN91KFAPKKPV,0.4
Sun May 06 19:13:03 PDT 2018,A2OBECQR0XKMX3,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
