date,workerid,amount
Thu May 03 11:08:54 PDT 2018,A1TK9TRNGXNO8D,0.4
Thu May 03 12:22:55 PDT 2018,A1KSA3TE2KOW7E,0.4
Thu May 03 14:23:58 PDT 2018,A1O91K90WK3EUP,0.4
Thu May 03 18:18:20 PDT 2018,A2UHQRHSXIPC6W,0.4
Thu May 03 21:15:47 PDT 2018,A3PQYI6YFMJLO6,0.4
Fri May 04 10:42:59 PDT 2018,A2RV8LWN8NBGRA,0.4
Fri May 04 12:57:10 PDT 2018,A77MP00VVXH8F,0.4
Fri May 04 19:05:15 PDT 2018,A3C2QUMRIR1KKE,0.4
Sat May 05 19:23:56 PDT 2018,A1OWUQZPIEIWSU,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
