date,workerid,amount
Thu May 03 10:42:15 PDT 2018,AK5AFB4VLBCGK,0.4
Thu May 03 12:30:31 PDT 2018,A1C6NTK19FBQO0,0.4
Thu May 03 12:35:01 PDT 2018,A2PNIY71J8U4XP,0.4
Thu May 03 12:41:32 PDT 2018,A3EEZL65SHSYQI,0.4
Thu May 03 20:01:11 PDT 2018,A1K8D3H6T1B2C8,0.4
Thu May 03 22:59:31 PDT 2018,A25SORYWGW7RQC,0.4
Fri May 04 22:29:46 PDT 2018,A2BZHM40ZFSPAA,0.4
Sat May 05 04:53:44 PDT 2018,AWHOY1UVFNC9R,0.4
Sat May 05 15:03:44 PDT 2018,AF5VO51F7N52X,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
