workerid,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education
0,most,both8,spaneng,español,native,2,Female,27,SpanSpan,,mostlive,Yes,yes,onesem,3
1,mid,neverlived,spaneng,Español,advanced,1,Male,casado,SpanEng,,neverlived,Yes,yes,nocollege,3
2,most,both8,span,Castellano,native,2,Female,25,SpanSpan,Bueno,mostlive,Confused,yes,mostsem,1
3,none,neverlived,span,"español, ingles",native,2,Female,22,SpanEng,,neverlived,Yes,no,nocollege,3
4,,,,,,-1,,,,,,NA,,,-1
5,small,over8,spaneng,espanol,basic,1,Male,19,SpanEng,Algunas cosas no tienen sentido.,mostlive,Yes,yes,onesem,2
6,most,neverlived,eng,Inglés,int,1,Male,39,L2,,neverlived,Yes,yes,midsem,3
7,mid,neverlived,span,espanol,advanced,1,Male,35,SpanEng,,neverlived,Yes,yes,nocollege,2
8,most,neverlived,eng,inglés,int,2,Female,23,L2,,neverlived,Yes,yes,midsem,2
