workerid,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education
0,,,,,,-1,,,,,,NA,,,-1
1,most,under8,spaneng,spanish,near native,2,Female,32,SpanEng,,midlive,Yes,yes,midsem,3
2,mid,neverlived,span,Español,advanced,2,Male,27,SpanEng,,neverlived,Yes,yes,nocollege,2
3,most,both8,span,Español,int,2,Male,39,SpanSpan,me parecio facil y divertido,mostlive,Yes,yes,mostsem,4
4,small,under8,spaneng,español,native,2,Male,19,SpanSpan,,mostlive,Yes,yes,onesem,1
5,mid,over8,eng,ingles,int,1,Male,47,SpanEng,,shortlive,Yes,yes,midsem,2
6,mid,neverlived,spaneng,English,near native,2,Female,26,L2,Es una buena encuesta,neverlived,Yes,yes,nocollege,3
7,none,under8,spaneng,,advanced,2,Female,52,SpanEng,,shortlive,No,yes,onesem,2
8,none,under8,span,español,advanced,1,Male,21,SpanEng,fue interesante ,midlive,Yes,no,nocollege,2
