workerid,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education
0,mid,neverlived,span,Español,native,1,Male,32,SpanEng,,neverlived,Yes,yes,nocollege,3
1,most,under8,eng,Ingles,advanced,1,Female,23,L2,,shortlive,Yes,yes,mostsem,3
2,mid,neverlived,spaneng,español e ingles,native,1,Male,21,L2,,neverlived,Yes,yes,nocollege,2
3,,both8,span,Español,native,1,Male,49,SpanSpan,"No entendí el objetivo, pero me imagino que no es un requisito.",mostlive,Yes,,,2
4,most,both8,span,Español,native,2,Male,30,SpanEng,Gracias ,mostlive,Yes,yes,midsem,4
5,none,neverlived,other,italiano,near native,2,Male,26,otherL2,,neverlived,No,no,nocollege,4
6,most,both8,spaneng,Español e Ingles,native,1,Male,30,SpanSpan,,mostlive,No,noclasses,nocollege,1
7,mid,neverlived,spaneng,ingles,int,2,Male,52,L2,,neverlived,Yes,yes,nocollege,3
8,,,eng,Hoo,basic,1,Male,Good,SpanEng,Good ,neverlived,Confused,,,4
