workerid,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education
0,mid,,,,,-1,Female,58,SpanSpan,,,Yes,,,1
1,none,both8,span,español,native,2,Male,37,SpanSpan,,mostlive,Yes,noclasses,nocollege,4
2,most,both8,span,Español,native,1,Female,36,SpanSpan,Todo bien,mostlive,Yes,yes,nocollege,4
3,,,,Tamil,,-1,Male,52,SpanEng,,,Yes,,,2
4,none,neverlived,other,Portugues,int,1,Female,30,otherL2,,neverlived,Yes,yes,nocollege,4
5,none,both8,span,espanol ,native,2,Female,25,SpanSpan,,mostlive,Yes,noclasses,nocollege,2
6,none,neverlived,eng,,near native,1,Female,58,L2,Gracias. Fue interesante el experimento.,neverlived,Yes,no,nocollege,2
7,,neverlived,spaneng,ENGLISH,advanced,2,Male,25,L2,Me gusto mucho,neverlived,Yes,no,nocollege,3
8,none,over8,spaneng,Español,native,2,Male,54,SpanSpan,,mostlive,Yes,no,nocollege,4
